name,Accounting Date,Product/Internal Reference,Counted Quantity
PRIBDM2022081200940,2022-08-12,36PA0143,3.0
PRIBDM2022081200940,2022-08-12,DK101569,10.0
PRIBDM2022081200940,2022-08-12,JN511202,2.0
PRIBDM2022081200940,2022-08-12,DS191001,6.0
PRIBDM2022081200940,2022-08-12,DZ151012,5.0
PRIBDM2022081200940,2022-08-12,JL161201,3.0
PRIBDM2022081200940,2022-08-12,JL511022,6.0
PRIBDM2022081200940,2022-08-12,SVA0030,300.0
PRIBDM2022081200940,2022-08-12,SVA0033,5.0
PRIBDM2022081200940,2022-08-12,SVA0040,20.0
PRIBDM2022081200940,2022-08-12,SVA0029,10.0
PRIBDM2022081200940,2022-08-12,SVA0031,50.0
PRIBDM2022081200940,2022-08-12,SVA0034,20.0
PRIBDM2022081200940,2022-08-12,SVA0038,15.0
PRIBDM2022081200940,2022-08-12,SVA0028,15.0
PRIBDM2022081200940,2022-08-12,SVA0037,10.0
PRIBDM2022081200940,2022-08-12,SVA0041,10.0
PRIBDM2022081200941,2022-08-12,31101295,3.0
PRIBDM2022081200941,2022-08-12,39191719,30.0
PRIBDM2022081200941,2022-08-12,JA581221,10.0
PRIBDM2022081200941,2022-08-12,PA121042,6.0
PRIBDM2022081200941,2022-08-12,AB111107,6.0
PRIBDM2022081200941,2022-08-12,AF191007,5.0
PRIBDM2022081200941,2022-08-12,DX101045,10.0
PRIBDM2022081200941,2022-08-12,AA121257,2.0
